"old_lexeme_id","canonical_lexeme_id"
"de.noun.antibiotikum","de.lex.antibiotikum"
"de.noun.antwort.answer","de.lex.antwort.answer"
"de.noun.antwort.response","de.lex.antwort.response"
"de.noun.antwort.the-response","de.lex.antwort.response"
"de.noun.anwaeltin","de.lex.anwaeltin"
"de.noun.anwalt","de.lex.anwalt"
"de.noun.anweisung","de.lex.anweisung"
"de.noun.anzahlung","de.lex.anzahlung"
"de.noun.anzug","de.lex.anzug"
"de.noun.apfel","de.lex.apfel"
"de.noun.apotheke","de.lex.apotheke"
"de.noun.apotheker","de.lex.apotheker"
"de.noun.app","de.lex.app"
"de.noun.april","de.lex.april"
"de.noun.arbeit","de.lex.arbeit"
"de.noun.arbeitszeit","de.lex.arbeitszeit"
"de.noun.architekt","de.lex.architekt"
"de.noun.arm","de.lex.arm.arm"
"de.noun.arm.arm","de.lex.arm.arm"
"de.noun.armut","de.lex.armut"
"de.noun.art","de.lex.art"
"de.noun.artenvielfalt","de.lex.artenvielfalt"
"de.noun.artikel","de.lex.artikel"
"de.noun.arzt","de.lex.arzt"
"de.noun.arzt.doctor","de.lex.arzt"
"de.noun.arzt.doctor-m","de.lex.arzt"
"de.noun.arztpraxis","de.lex.arztpraxis"
"de.noun.asche","de.lex.asche"
"de.noun.ast","de.lex.ast"
"de.noun.atem","de.lex.atem"
"de.noun.atom","de.lex.atom"
"de.noun.aufenthaltserlaubnis","de.lex.aufenthaltserlaubnis"
"de.noun.aufgabe","de.lex.aufgabe"
"de.noun.aufgabe.task","de.lex.aufgabe"
"de.noun.aufgabe.the-task","de.lex.aufgabe"
"de.noun.aufsatz","de.lex.aufsatz"
"de.noun.aufzug","de.lex.aufzug"
"de.noun.auge","de.lex.auge"
"de.noun.august","de.lex.august"
"de.noun.ausdruck","de.lex.ausdruck"
"de.noun.ausnahme","de.lex.ausnahme"
"de.noun.aussprache","de.lex.aussprache"
"de.noun.auto","de.lex.auto"
"de.noun.auto.car","de.lex.auto"
"de.noun.auto.car-automobile","de.lex.auto"
"de.noun.autobahn","de.lex.autobahn"
"de.noun.automatisierung","de.lex.automatisierung"
"de.noun.baby","de.lex.baby"
"de.noun.backen","de.lex.backen.baking"
"de.noun.backen.baking","de.lex.backen.baking"
"de.noun.bad","de.lex.bad"
"de.noun.badeanzug","de.lex.badeanzug"
"de.noun.badezimmer","de.lex.badezimmer"
"de.noun.baecker","de.lex.baecker"
"de.noun.baeckerei","de.lex.baeckerei"
"de.noun.baer","de.lex.baer"
"de.noun.bahnfahrkarte","de.lex.bahnfahrkarte"
"de.noun.bahnhof.station","de.lex.bahnhof.station"
"de.noun.bahnhof.train-station","de.lex.bahnhof.train-station"
"de.noun.bahnsteig","de.lex.bahnsteig"
"de.noun.bakterien","de.lex.bakterien"
"de.noun.balkon","de.lex.balkon"
"de.noun.banane","de.lex.banane"
"de.noun.band","de.lex.band"
"de.noun.bank","de.lex.bank"
"de.noun.bankkonto","de.lex.bankkonto"
"de.noun.bar","de.lex.bar"
"de.noun.bargeld","de.lex.bargeld"
"de.noun.bart","de.lex.bart"
"de.noun.basketball","de.lex.basketball"
"de.noun.batterie","de.lex.batterie"
"de.noun.bauch.belly","de.lex.bauch.belly"
"de.noun.bauch.stomach","de.lex.bauch.stomach"
"de.noun.bauchschmerzen","de.lex.bauchschmerzen"
"de.noun.bauer","de.lex.bauer"
"de.noun.bauernhof","de.lex.bauernhof"
"de.noun.baum","de.lex.baum"
"de.noun.baumwolle","de.lex.baumwolle"
"de.noun.beamer","de.lex.beamer"
"de.noun.bedingung","de.lex.bedingung"
"de.noun.beere","de.lex.beere"
"de.noun.begeisterung","de.lex.begeisterung"
"de.noun.behandlung","de.lex.behandlung"
"de.noun.bein","de.lex.bein"
"de.noun.beispiel","de.lex.beispiel"
"de.noun.beispiel.example","de.lex.beispiel"
"de.noun.beispiel.the-example","de.lex.beispiel"
"de.noun.beitrag","de.lex.beitrag"
"de.noun.benachrichtigung","de.lex.benachrichtigung"
"de.noun.benutzername","de.lex.benutzername"
"de.noun.berg","de.lex.berg"
"de.noun.berggipfel","de.lex.berggipfel"
"de.noun.bericht","de.lex.bericht"
"de.noun.berlin","de.lex.berlin"
"de.noun.berufsschule","de.lex.berufsschule"
"de.noun.beschwerde","de.lex.beschwerde"
"de.noun.besichtigung","de.lex.besichtigung"
"de.noun.besorgnis","de.lex.besorgnis"
"de.noun.bestaetigung","de.lex.bestaetigung"
